country_code,year,temperature,gdp_pcap,population,warming_ratio
IND,1960,25.48870493570968,302.671818657003,445954579,0.8343651294708252
IND,1961,24.63208923339846,307.727896432538,456351876,0.8343651294708252
IND,1962,24.681751505533896,310.376724718318,467024193,0.8343651294708252
IND,1963,25.17737986246749,322.284061139162,477933619,0.8343651294708252
IND,1964,25.27268371582033,339.203690197645,489059309,0.8343651294708252
IND,1965,25.30304107666018,323.464109081603,500114346,0.8343651294708252
IND,1966,25.42266743977865,316.619267656041,510992617,0.8343651294708252
IND,1967,25.010527547200525,334.332955557869,521987069,0.8343651294708252
IND,1968,24.86492055257162,338.432623847158,533431909,0.8343651294708252
IND,1969,25.37079772949221,352.883205678319,545314670,0.8343651294708252
IND,1970,24.85511169433596,362.991056308526,557501301,0.8343651294708252
IND,1971,24.40062611897787,360.717461324075,569999178,0.8343651294708252
IND,1972,25.40943552652999,350.560999633267,582837973,0.8343651294708252
IND,1973,25.160752868652366,353.78326510924,596107483,0.8343651294708252
IND,1974,25.181807454427087,349.725680705998,609721951,0.8343651294708252
IND,1975,24.732878621419275,372.964620527117,623524219,0.8343651294708252
IND,1976,25.082480367024743,370.528802672407,637451448,0.8343651294708252
IND,1977,25.058150227864587,388.407474868567,651685628,0.8343651294708252
IND,1978,24.6827382405599,401.312505100726,666267760,0.8343651294708252
IND,1979,25.51993459065756,371.663127952709,681248383,0.8343651294708252
IND,1980,25.244368489583337,387.640860005966,696828385,0.8343651294708252
IND,1981,24.704863484700525,401.484583878048,712869298,0.8343651294708252
IND,1982,24.92871246337893,405.876645948415,729169466,0.8343651294708252
IND,1983,24.691562906901083,425.47251268689,745826546,0.8343651294708252
IND,1984,24.8984263102214,431.70299591046,762895156,0.8343651294708252
IND,1985,25.28022918701174,444.232664391237,780242084,0.8343651294708252
IND,1986,25.095257059733115,455.228161692716,797878993,0.8343651294708252
IND,1987,25.70643768310549,463.055750027797,815716125,0.8343651294708252
IND,1988,25.422756449381552,496.856131062567,833729681,0.8343651294708252
IND,1989,24.886397298177087,515.410609027119,852012673,0.8343651294708252
IND,1990,24.730676269531276,532.754550012584,870452165,0.8343651294708252
IND,1991,25.12383168538412,527.514516424971,888941756,0.8343651294708252
IND,1992,24.994917805989587,545.399464560655,907574049,0.8343651294708252
IND,1993,25.006084696451865,560.161940734035,926351297,0.8343651294708252
IND,1994,24.97001800537112,585.964621108449,945261958,0.8343651294708252
IND,1995,25.05052846272787,618.367769403957,964279129,0.8343651294708252
IND,1996,24.904580688476585,652.566081499907,983281218,0.8343651294708252
IND,1997,24.461394246419275,666.42015396886,1002335230,0.8343651294708252
IND,1998,25.066260274251302,694.735303105746,1021434576,0.8343651294708252
IND,1999,25.058737691243493,742.658951807987,1040500054,0.8343651294708252
IND,2000,24.84798075358077,757.668747182393,1059633675,0.8343651294708252
IND,2001,24.93983103434249,780.606234028164,1078970907,0.8343651294708252
IND,2002,25.315932210286466,796.724785581848,1098313039,0.8343651294708252
IND,2003,24.94200032552084,845.274844474013,1117415123,0.8343651294708252
IND,2004,25.10712076822921,897.628232696081,1136264583,0.8343651294708252
IND,2005,25.112936909993493,953.567972961049,1154638713,0.8343651294708252
IND,2006,25.406945800781276,1014.62764066211,1172373788,0.8343651294708252
IND,2007,25.17838694254561,1075.99408734051,1189691809,0.8343651294708252
IND,2008,24.989472961425804,1093.07655122533,1206734806,0.8343651294708252
IND,2009,25.75038045247396,1162.49880786282,1223640160,0.8343651294708252
IND,2010,25.754609680175804,1244.36601557133,1240613620,0.8343651294708252
IND,2011,24.96079915364584,1292.82120564033,1257621191,0.8343651294708252
IND,2012,25.104732767740927,1346.67591021698,1274487215,0.8343651294708252
IND,2013,24.73015492757162,1415.8287215662,1291132063,0.8343651294708252
IND,2014,25.024654642740927,1503.42150701876,1307246509,0.8343651294708252
IND,2015,25.23248697916671,1605.60544457045,1322866505,0.8343651294708252
IND,2016,25.61223500569662,1719.31807624158,1338636340,0.8343651294708252
IND,2017,25.41663767496749,1816.73087569339,1354195680,0.8343651294708252
IND,2018,25.31227264404299,1915.4352712462,1369003306,0.8343651294708252
IND,2019,25.21953226725265,1972.75782082313,1383112050,0.8343651294708252
IND,2020,24.817981974283896,1797.75977686427,1396387127,0.8343651294708252
